ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity,Duration,Magnitude
3698,0,Germany,,13.9953,51.4677,45883.94,2010-07-27,2010-08-08,News,15,3000,Torrential Rain,1.5,12.0,13.624242201651102
3699,0,China,0,99.9857,37.8435,442536.33,2010-07-27,2010-08-11,News,65,180,Torrential Rain,1.5,15.0,16.11379315096525
3700,0,India,0,76.1256,33.5267,145020.41,2010-08-06,2010-08-08,News,150,180,Torrential Rain,1.5,2.0,12.983242058785946
3701,0,North Korea,0,125.713,39.5887,51188.84,2010-07-27,2010-08-08,News,0,17000,Torrential Rain,1.0,12.0,13.328183468306959
3702,0,USA,0,-93.4672,42.3135,8257.4,2010-08-10,2010-08-11,News,1,1000,Torrential Rain,1.0,1.0,9.01886504698877
3703,0,Niger,,14.0074,13.6058,619077.86,2010-08-01,2010-09-10,News,1,5000,Torrential Rain,2.0,40.0,17.71801296195234
3704,0,Burma,0,95.49,20.88,4327.09,2010-08-01,2010-09-01,News,0,20000,Torrential Rain,1.0,31.0,11.80663774412395
3705,0,North Korea,,124.965,40.365,305.538,2010-08-26,2010-09-01,News,0,35000,Heavy Rain,1.5,6.0,7.919298734464586
3706,0,Sudan,0,29.115,9.855,58589.17,2010-08-01,2010-09-20,News,0,57135,Torrential Rain,1.5,50.0,15.29579325973483
3707,0,Mexico,,-92.25,17.91,14761.29,2010-08-15,2010-10-06,News,100,50000,Tropical Storm,2.0,52.0,14.244154391850804
3708,0,Australia,0,143.325,-38.07,7093.05,2010-09-01,2010-09-15,News,0,10000,Heavy Rain,2.0,14.0,12.199075220555885
3709,FL-2010-000176-MRT,Mauritania,0,-7.65,16.245,11046.27,2010-08-19,2010-08-21,News,0,4000,Torrential Rain,1.5,2.0,10.408460382067883
3710,0,India,0,76.05,25.965,10843.63,2010-09-05,2010-09-28,News,0,12500,Torrential Rain,1.0,23.0,12.426827305714767
3711,0,USA,,-97.065,28.89,15031.48,2010-09-07,2010-09-11,News,8,0,Tropical Storm Hermine,1.0,4.0,11.004196308746298
3712,0,India,0,80.055,16.29,15951.54,2010-09-01,2010-09-17,News,0,78000,Monsoon Rains,1.5,16.0,12.855364485624257
3713,0,India,0,92.25,26.235,12555.81,2010-09-05,2010-09-17,News,1,30000,Torrential Rains,1.5,12.0,12.328310543535807
3714,0,Chad,0,14.625,11.385,38021.99,2010-08-15,2010-09-17,News,24,70000,Heavy Rain,1.5,33.0,14.447892625120554
3715,0,Nigeria,0,4.5,12.78,8694.6,2010-09-13,2010-09-30,News,40,10000,Heavy Rain and Dam Break,1.5,17.0,12.309135874444314
3716,0,Bangladesh,0,89.64,25.425,7364.9,2010-09-09,2010-09-30,News,0,140000,Monsoon Rains,1.5,21.0,12.35446829690362
3717,0,India,0,82.845,26.73,38537.96,2010-09-18,2010-09-30,News,88,15000,Monsoon Rains,1.5,12.0,13.44977076644489
